"Producer Price Index item","Attribute","Unit","Value"
"Farm-level cattle","Annual 2023","Percent change",22
"Farm-level cattle","Annual 2024","Percent change",10.9
"Farm-level cattle","20-year historical average","Percent change",4.8
"Farm-level cattle","Lower bound of prediction interval 2025","Percent change",18.2
"Farm-level cattle","Mid point of prediction interval 2025","Percent change",22.5
"Farm-level cattle","Upper bound of prediction interval 2025","Percent change",27.3
"Farm-level cattle","Lower bound of prediction interval 2026","Percent change",-15.4
"Farm-level cattle","Mid point of prediction interval 2026","Percent change",5.4
"Farm-level cattle","Upper bound of prediction interval 2026","Percent change",31.2
"Wholesale beef","Month-to-month July 2025 to August 2025","Percent change",2.6
"Wholesale beef","Year-over-year August 2024 to August 2025","Percent change",21.1
"Wholesale beef","Year-to-date avg. 2025 to avg. 2024","Percent change",10.2
"Wholesale beef","Annual 2023","Percent change",13.5
"Wholesale beef","Annual 2024","Percent change",5.8
"Wholesale beef","20-year historical average","Percent change",4.4
"Wholesale beef","Lower bound of prediction interval 2025","Percent change",6.1
"Wholesale beef","Mid point of prediction interval 2025","Percent change",12
"Wholesale beef","Upper bound of prediction interval 2025","Percent change",18.9
"Wholesale beef","Lower bound of prediction interval 2026","Percent change",-21.7
"Wholesale beef","Mid point of prediction interval 2026","Percent change",3.1
"Wholesale beef","Upper bound of prediction interval 2026","Percent change",35.7
"Wholesale pork","Month-to-month July 2025 to August 2025","Percent change",0.7
"Wholesale pork","Year-over-year August 2024 to August 2025","Percent change",5.9
"Wholesale pork","Year-to-date avg. 2025 to avg. 2024","Percent change",4.3
"Wholesale pork","Annual 2023","Percent change",-3.7
"Wholesale pork","Annual 2024","Percent change",11.8
"Wholesale pork","20-year historical average","Percent change",2.1
"Wholesale pork","Lower bound of prediction interval 2025","Percent change",1.1
"Wholesale pork","Mid point of prediction interval 2025","Percent change",5.3
"Wholesale pork","Upper bound of prediction interval 2025","Percent change",10.2
"Wholesale pork","Lower bound of prediction interval 2026","Percent change",-21.6
"Wholesale pork","Mid point of prediction interval 2026","Percent change",1.5
"Wholesale pork","Upper bound of prediction interval 2026","Percent change",33.5
"Wholesale poultry","Month-to-month July 2025 to August 2025","Percent change",4.4
"Wholesale poultry","Year-over-year August 2024 to August 2025","Percent change",8.9
"Wholesale poultry","Year-to-date avg. 2025 to avg. 2024","Percent change",3.5
"Wholesale poultry","Annual 2023","Percent change",-18
"Wholesale poultry","Annual 2024","Percent change",0
"Wholesale poultry","20-year historical average","Percent change",1.9
"Wholesale poultry","Lower bound of prediction interval 2025","Percent change",2.2
"Wholesale poultry","Mid point of prediction interval 2025","Percent change",5
"Wholesale poultry","Upper bound of prediction interval 2025","Percent change",8
"Wholesale poultry","Lower bound of prediction interval 2026","Percent change",-14.7
"Wholesale poultry","Mid point of prediction interval 2026","Percent change",2.6
"Wholesale poultry","Upper bound of prediction interval 2026","Percent change",23.6
"Farm-level eggs","Month-to-month July 2025 to August 2025","Percent change",-22.8
"Farm-level eggs","Year-over-year August 2024 to August 2025","Percent change",-33.2
"Farm-level eggs","Year-to-date avg. 2025 to avg. 2024","Percent change",59.3
"Farm-level eggs","Annual 2023","Percent change",-28.3
"Farm-level eggs","Annual 2024","Percent change",43.1
"Farm-level eggs","20-year historical average","Percent change",14.2
"Farm-level eggs","Lower bound of prediction interval 2025","Percent change",23.4
"Farm-level eggs","Mid point of prediction interval 2025","Percent change",36.7
"Farm-level eggs","Upper bound of prediction interval 2025","Percent change",61.3
"Farm-level eggs","Lower bound of prediction interval 2026","Percent change",-76.8
"Farm-level eggs","Mid point of prediction interval 2026","Percent change",-29.5
"Farm-level eggs","Upper bound of prediction interval 2026","Percent change",127.1
"Farm-level milk","Month-to-month July 2025 to August 2025","Percent change",0.6
"Farm-level milk","Year-over-year August 2024 to August 2025","Percent change",-2.9
"Farm-level milk","Year-to-date avg. 2025 to avg. 2024","Percent change",-1
"Farm-level milk","Annual 2023","Percent change",-19.9
"Farm-level milk","Annual 2024","Percent change",10.4
"Farm-level milk","20-year historical average","Percent change",3.8
"Farm-level milk","Lower bound of prediction interval 2025","Percent change",-6.7
"Farm-level milk","Mid point of prediction interval 2025","Percent change",-1.2
"Farm-level milk","Upper bound of prediction interval 2025","Percent change",5.3
"Farm-level milk","Lower bound of prediction interval 2026","Percent change",-35.6
"Farm-level milk","Mid point of prediction interval 2026","Percent change",-1.6
"Farm-level milk","Upper bound of prediction interval 2026","Percent change",53.7
"Wholesale dairy","Month-to-month July 2025 to August 2025","Percent change",0.1
"Wholesale dairy","Year-over-year August 2024 to August 2025","Percent change",-2
"Wholesale dairy","Year-to-date avg. 2025 to avg. 2024","Percent change",0.4
"Wholesale dairy","Annual 2023","Percent change",-6.1
"Wholesale dairy","Annual 2024","Percent change",3.2
"Wholesale dairy","20-year historical average","Percent change",2.5
"Wholesale dairy","Lower bound of prediction interval 2025","Percent change",-1.5
"Wholesale dairy","Mid point of prediction interval 2025","Percent change",0.5
"Wholesale dairy","Upper bound of prediction interval 2025","Percent change",2.6
"Wholesale dairy","Lower bound of prediction interval 2026","Percent change",-13.4
"Wholesale dairy","Mid point of prediction interval 2026","Percent change",0.8
"Wholesale dairy","Upper bound of prediction interval 2026","Percent change",17.9
"Farm-level soybeans","Month-to-month July 2025 to August 2025","Percent change",-1
"Farm-level soybeans","Year-over-year August 2024 to August 2025","Percent change",-0.5
"Farm-level soybeans","Year-to-date avg. 2025 to avg. 2024","Percent change",-7.2
"Farm-level soybeans","Annual 2023","Percent change",-8.3
"Farm-level soybeans","Annual 2024","Percent change",-22.4
"Farm-level soybeans","20-year historical average","Percent change",3.8
"Farm-level soybeans","Lower bound of prediction interval 2025","Percent change",-12.8
"Farm-level soybeans","Mid point of prediction interval 2025","Percent change",-8.1
"Farm-level soybeans","Upper bound of prediction interval 2025","Percent change",-2.6
"Farm-level soybeans","Lower bound of prediction interval 2026","Percent change",-29.6
"Farm-level soybeans","Mid point of prediction interval 2026","Percent change",-0.7
"Farm-level soybeans","Upper bound of prediction interval 2026","Percent change",40.9
"Wholesale fats and oils","Month-to-month July 2025 to August 2025","Percent change",1.6
"Wholesale fats and oils","Year-over-year August 2024 to August 2025","Percent change",2.2
"Wholesale fats and oils","Year-to-date avg. 2025 to avg. 2024","Percent change",-1.6
"Wholesale fats and oils","Annual 2023","Percent change",-16.3
"Wholesale fats and oils","Annual 2024","Percent change",-10.3
"Wholesale fats and oils","20-year historical average","Percent change",4.2
"Wholesale fats and oils","Lower bound of prediction interval 2025","Percent change",-2.7
"Wholesale fats and oils","Mid point of prediction interval 2025","Percent change",-0.5
"Wholesale fats and oils","Upper bound of prediction interval 2025","Percent change",1.8
"Wholesale fats and oils","Lower bound of prediction interval 2026","Percent change",-16.4
"Wholesale fats and oils","Mid point of prediction interval 2026","Percent change",3.5
"Wholesale fats and oils","Upper bound of prediction interval 2026","Percent change",28.1
"Farm-level fruits","Month-to-month July 2025 to August 2025","Percent change",-5
"Farm-level fruits","Year-over-year August 2024 to August 2025","Percent change",-7.2
"Farm-level fruits","Year-to-date avg. 2025 to avg. 2024","Percent change",-2.1
"Farm-level fruits","Annual 2023","Percent change",-0.6
"Farm-level fruits","Annual 2024","Percent change",-0.7
"Farm-level fruits","20-year historical average","Percent change",2.7
"Farm-level fruits","Lower bound of prediction interval 2025","Percent change",-9
"Farm-level fruits","Mid point of prediction interval 2025","Percent change",-5.2
"Farm-level fruits","Upper bound of prediction interval 2025","Percent change",-0.9
"Farm-level fruits","Lower bound of prediction interval 2026","Percent change",-27.2
"Farm-level fruits","Mid point of prediction interval 2026","Percent change",-6.1
"Farm-level fruits","Upper bound of prediction interval 2026","Percent change",21.3
"Farm-level vegetables","Month-to-month July 2025 to August 2025","Percent change",-15.1
"Farm-level vegetables","Year-over-year August 2024 to August 2025","Percent change",-3.6
"Farm-level vegetables","Year-to-date avg. 2025 to avg. 2024","Percent change",-15.8
"Farm-level vegetables","Annual 2023","Percent change",-12.1
"Farm-level vegetables","Annual 2024","Percent change",-0.3
"Farm-level vegetables","20-year historical average","Percent change",5.2
"Farm-level vegetables","Lower bound of prediction interval 2025","Percent change",-20.9
"Farm-level vegetables","Mid point of prediction interval 2025","Percent change",-14.1
"Farm-level vegetables","Upper bound of prediction interval 2025","Percent change",-5.3
"Farm-level vegetables","Lower bound of prediction interval 2026","Percent change",-22.4
"Farm-level vegetables","Mid point of prediction interval 2026","Percent change",3.8
"Farm-level vegetables","Upper bound of prediction interval 2026","Percent change",40.1
"Farm-level wheat","Month-to-month July 2025 to August 2025","Percent change",-4.9
"Farm-level wheat","Year-over-year August 2024 to August 2025","Percent change",-7
"Farm-level wheat","Year-to-date avg. 2025 to avg. 2024","Percent change",-8.6
"Farm-level wheat","Annual 2023","Percent change",-23.1
"Farm-level wheat","Annual 2024","Percent change",-22.3
"Farm-level wheat","20-year historical average","Percent change",5
"Farm-level wheat","Lower bound of prediction interval 2025","Percent change",-15.6
"Farm-level wheat","Mid point of prediction interval 2025","Percent change",-11.1
"Farm-level wheat","Upper bound of prediction interval 2025","Percent change",-5.5
"Farm-level wheat","Lower bound of prediction interval 2026","Percent change",-35
"Farm-level wheat","Mid point of prediction interval 2026","Percent change",-5.9
"Farm-level wheat","Upper bound of prediction interval 2026","Percent change",38.5
"Wholesale wheat flour","Month-to-month July 2025 to August 2025","Percent change",-1.9
"Wholesale wheat flour","Year-over-year August 2024 to August 2025","Percent change",-3.5
"Wholesale wheat flour","Year-to-date avg. 2025 to avg. 2024","Percent change",-3.4
"Wholesale wheat flour","Annual 2023","Percent change",-5.8
"Wholesale wheat flour","Annual 2024","Percent change",-6.8
"Wholesale wheat flour","20-year historical average","Percent change",2.5
"Wholesale wheat flour","Lower bound of prediction interval 2025","Percent change",-6.3
"Wholesale wheat flour","Mid point of prediction interval 2025","Percent change",-4
"Wholesale wheat flour","Upper bound of prediction interval 2025","Percent change",-1.5
"Wholesale wheat flour","Lower bound of prediction interval 2026","Percent change",-17.9
"Wholesale wheat flour","Mid point of prediction interval 2026","Percent change",-3.9
"Wholesale wheat flour","Upper bound of prediction interval 2026","Percent change",13.1
