ID,scale
BAP220,patriotic_unpatriotic
BAP221,tactful_indiscreet
BAP222,wholesome_salacious
BAP223,joyful_miserable
BAP224,zany_regular
BAP225,alert_oblivious
BAP226,feminist_sexist
BAP227,racist_egalitarian
BAP228,abstract_concrete
BAP229,formal_intimate
BAP230,resolute_wavering
BAP231,deep_shallow
BAP232,valedictorian_drop-out
BAP233,minimalist_pack-rat
BAP234,trash_treasure
BAP235,INVALID1
BAP236,INVALID2
BAP237,INVALID3
BAP238,INVALID4
BAP239,INVALID5
BAP240,INVALID6
BAP241,INVALID7
BAP242,INVALID8
BAP243,INVALID9
BAP244,INVALID10
BAP245,INVALID11
BAP246,INVALID12
BAP247,INVALID13
BAP248,INVALID14
BAP249,INVALID15
BAP250,INVALID16
BAP251,INVALID17
BAP252,INVALID18
BAP253,INVALID19
BAP254,INVALID20
BAP255,INVALID21
BAP256,INVALID22
BAP257,INVALID23
BAP258,INVALID24
BAP259,INVALID25
BAP260,INVALID26
BAP261,INVALID27
BAP262,INVALID28
BAP263,INVALID29
BAP264,INVALID30
BAP265,INVALID31
BAP266,INVALID32
BAP267,stinky_fresh
BAP268,legit_scrub
BAP269,self-destructive_self-improving
BAP270,French_Russian
BAP271,German_English
BAP272,Italian_Swedish
BAP273,Greek_Roman
BAP274,traumatized_flourishing
BAP275,sturdy_flimsy
BAP276,macho_metrosexual
BAP277,claustrophobic_spelunker
BAP278,offended_chill
BAP279,rhythmic_stuttering
BAP280,musical_off-key
BAP281,lost_enlightened
BAP282,masochistic_pain-avoidant
BAP283,efficient_overprepared
BAP284,oppressed_privileged
BAP285,sunny_gloomy
BAP286,vegan_cannibal
BAP287,loveable_punchable
BAP288,slow-talking_fast-talking
BAP289,believable_poorly-written
BAP290,vibrant_geriatric
BAP291,consistent_variable
BAP292,dispassionate_romantic
BAP293,linear_circular
BAP294,intense_lighthearted
BAP295,knowledgeable_ignorant
BAP296,fixable_unfixable
BAP297,exuberant_subdued
BAP298,secretive_open-book
BAP299,perceptive_unobservant
BAP300,folksy_presidential
BAP301,corporate_freelance
BAP302,sleepy_frenzied
BAP303,loose_tight
BAP304,narcissistic_low-self-esteem
BAP305,poetic_factual
BAP306,melee_ranged
BAP307,giggling_chortling
BAP308,whippersnapper_sage
BAP309,tailor_blacksmith
BAP310,hunter_gatherer
BAP311,experimental_reliable
BAP312,moist_dry
BAP313,trolling_triggered
BAP314,tattle-tale_fuck-the-police
BAP315,punk-rock_preppy
BAP316,realistic_fantastical
BAP317,trendy_vintage
BAP318,factual_exaggerating
BAP319,good-cook_bad-cook
BAP320,comedic_dramatic
BAP321,OCD_ADHD
BAP322,interrupting_attentive
BAP323,exhibitionist_bashful
BAP324,badass_weakass
BAP325,gamer_non-gamer
BAP326,random_pointed
BAP327,epic_deep
BAP328,serene_pensive
BAP329,bored_interested
BAP330,envious_prideful
BAP331,ironic_profound
BAP332,sexual_asexual
BAP333,INVALID33
BAP334,INVALID34
BAP335,INVALID35
BAP336,clean_perverted
BAP337,empath_psychopath
BAP338,haunted_blissful
BAP339,entitled_grateful
BAP340,ambitious_realistic
BAP341,stuck-in-the-past_forward-thinking
BAP342,fire_water
BAP343,earth_air
BAP344,lover_fighter
BAP345,overachiever_underachiever
BAP346,Coke_Pepsi
BAP347,twitchy_still
BAP348,freak_normie
BAP349,thinker_doer
BAP350,hard-work_natural-talent
BAP351,stingy_generous
BAP352,stubborn_accommodating
BAP353,extravagant_thrifty
BAP354,demanding_unchallenging
BAP355,two-faced_one-faced
BAP356,plastic_wooden
BAP357,neutral_opinionated
BAP358,chivalrous_businesslike
BAP359,high-standards_desperate
BAP360,on-time_tardy
BAP361,everyman_chosen-one
BAP362,jealous_opinionated
BAP363,protagonist_antagonist
BAP364,devoted_unfaithful
BAP365,fearmongering_reassuring
BAP366,common-sense_analysis
BAP367,unemotional_emotional
BAP368,rap_rock
BAP369,genocidal_not-genocidal
BAP370,cat-person_dog-person
BAP371,indie_pop
BAP372,cultured_rustic
BAP373,tautology_oxymoron
BAP374,bad-boy_white-knight
BAP375,princess_queen
BAP376,hypochondriac_stoic
BAP377,yes-man_contrarian
BAP378,giving_receiving
BAP379,chic_cheesy
BAP380,celebrity_boy/girl-next-door
BAP381,goth_flower-child
BAP382,summer_winter
BAP383,frank_sugarcoated
BAP384,naive_paranoid
BAP385,gullible_cynical
BAP386,motivated_unmotivated
BAP387,radical_centrist
BAP388,monotone_expressive
BAP389,love-focused_money-focused
BAP390,transparent_machiavellian
BAP391,timid_cocky
BAP392,concise_long-winded
BAP393,picky_always-down
BAP394,proactive_reactive
BAP395,prudish_flirtatious
BAP396,innocent_jaded
BAP397,touchy-feely_distant
BAP398,muddy_washed
BAP399,quirky_predictable
BAP400,never-cries_often-crying
BAP401,main-character_side-character
BAP402,original_cliche
BAP403,hugs_handshakes
BAP404,homebody_world-traveler
BAP405,naughty_nice
BAP406,junkie_straight-edge
BAP407,small-vocabulary_big-vocabulary
BAP408,dystopian_utopian
BAP409,parental_childlike
BAP410,writer_reader
BAP411,creator_consumer
BAP412,capitalist_communist
BAP413,positive_negative
BAP414,grounded_fantasy-prone
BAP415,thinker_feeler
BAP416,insightful_generic
BAP417,questioning_believing
BAP418,proud_apologetic
BAP419,bubbly_flat
BAP420,tired_wired
BAP421,woke_problematic
BAP422,grumpy_cheery
BAP423,hippie_militaristic
BAP424,gluttonous_moderate
BAP425,flawed_perfect
BAP426,sweet_savory
BAP427,annoying_unannoying
BAP428,good-manners_bad-manners
BAP429,evolutionist_creationist
BAP430,fulfilled_unfulfilled
BAP431,friendly_unfriendly
BAP432,innovative_routine
BAP433,delicate_coarse
BAP434,resentful_euphoric
BAP435,uptight_easy
BAP436,blue_red
BAP437,slumbering_insomniac
BAP438,spirited_lifeless
BAP439,outgoing_withdrawn
BAP440,Hates-PDA_Constant-PDA
BAP441,buffoon_charmer
BAP442,sloppy_fussy
BAP443,accurate_off-target
BAP444,harsh_gentle
BAP445,clinical_heartfelt
BAP446,inappropriate_seemly
BAP447,smug_sheepish
BAP448,fake_real
BAP449,popular_rejected
BAP450,catty_supportive
BAP451,chronically-single_serial-dater
BAP452,people-person_things-person
BAP453,eager_reluctant
BAP454,goal-oriented_experience-oriented
BAP455,outdoorsy_indoorsy
BAP456,divine_earthly
BAP457,foodie_unenthusiastic-about-food
BAP458,chill_sassy
BAP459,glamorous_spartan
BAP460,prankster_anti-prank
BAP461,goofy_unfrivolous
BAP462,noble_jovial
BAP463,blessed_cursed
BAP464,forward_repressed
BAP465,entrepreneur_employee
BAP466,quivering_unstirring
BAP467,mechanical_natural
BAP468,minds-own-business_snoops
BAP469,prying_unmeddlesome
BAP470,leader_follower
BAP471,handy_can't-fix-anything
BAP472,green-thumb_plant-neglecter
BAP473,activist_nonpartisan
BAP474,photographer_physicist
BAP475,lumberjack_mad-scientist
BAP476,pointless_meaningful
BAP477,focused_absentminded
BAP478,bear_wolf
BAP479,lion_zebra
BAP480,kangaroo_dolphin
BAP481,all-seeing_blind
BAP482,engineerial_lawyerly
BAP483,love-shy_cassanova
BAP484,disturbing_enchanting
BAP485,maverick_conformist
BAP486,social-climber_nonconformist
BAP487,social-chameleon_strong-identity
BAP488,awkward_comfortable
BAP489,sincere_irreverent
BAP490,intuitive_analytical
BAP491,cringing-away_welcoming-experience
BAP492,stereotypical_boundary-breaking
BAP493,energetic_mellow
BAP494,hopeful_fearful
BAP495,likes-change_resists-change
BAP496,manic_mild
BAP497,old-fashioned_progressive
BAP498,gross_hygienic
BAP499,stable_unstable
BAP500,overthinker_underthinker
